<Trait>	SdArea_cm2	Hgt_cm	Hdng_grp
H0225	8.546853333	143.5574667	1.377966667
H0226	7.666853333	141.8908	1.7113
H0227	6.760186667	140.2241333	1.377966667
H0228	7.356853333	150.2241333	0.7113
H0229	7.416853333	143.5574667	0.7113
H0230	9.296853333	148.5574667	1.044633333
H0232	6.93352	151.8908	1.044633333
H0233	7.41145	106.8908	1.377966667
H0234	8.556853333	121.8908	1.7113
H0235	7.830186667	148.5574667	1.044633333
H0236	8.656853333	130.2241333	0.7113
H0238	7.47352	146.8908	1.377966667
H0239	8.330186667	153.5574667	1.044633333
H0240	7.41352	136.8908	2.044633333
H0241	7.640186667	148.5574667	1.7113
H0242	6.99352	151.8908	0.7113
H0243	8.29352	143.5574667	1.377966667
H0244	6.82352	141.8908	1.044633333
H0246	9.11352	143.5574667	1.377966667
H0247	6.360186667	125.2241333	0.7113
H0248	6.480186667	101.8908	2.7113
H0250	7.260186667	151.8661	1.7113
H0251	7.370186667	148.5574667	1.7113
H0252	6.36352	138.5574667	1.377966667
H0253	6.506853333	148.5574667	1.377966667
H0254	8.300186667	138.5574667	1.044633333
H0255	9.496853333	151.8908	1.7113
H0256	8.14352	145.2241333	1.377966667
H0289	6.590186667	141.8908	1.7113
H0290	5.48352	130.2241333	1.377966667
H0291	7.126853333	135.2241333	0.377966667
H0293	7.240186667	133.5574667	1.7113
H0294	7.296853333	150.2241333	2.044633333
H0295	7.380186667	143.5574667	1.377966667
H0298	6.92352	140.2241333	0.377966667
H0300	6.41352	116.8908	1.044633333
H0301	6.230186667	141.8908	0.7113
H0302	5.93352	146.8908	1.377966667
H0304	6.936853333	136.8908	0.377966667
H0309	8.800186667	141.8908	1.377966667
H0310	7.36352	138.5574667	1.044633333
H0311	6.86352	141.8908	1.044633333
H0312	7.590186667	126.8908	1.377966667
H0313	7.110186667	155.2241333	0.377966667
H0315	7.456853333	161.8908	1.7113
H0316	6.890186667	165.2241333	1.7113
H0321	6.426853333	145.2241333	0.377966667
H0322	7.070186667	125.2241333	1.377966667
H0323	8.016853333	148.5574667	0.377966667
H0324	6.84352	145.2241333	0.7113
H0325	6.946853333	133.5574667	0.7113
H0329	7.69352	131.8908	2.377966667
H0330	10.07018667	138.5574667	1.377966667
H0331	6.99145	158.5574667	1.7113
H0334	6.58352	143.5574667	1.377966667
H0335	6.356853333	136.8908	2.044633333
H0336	6.79352	148.5574667	0.377966667
H0337	5.90352	141.8908	0.7113
H0339	7.610186667	145.2241333	1.7113
H0340	6.790186667	146.8908	1.7113
H0341	6.80352	146.8908	1.7113
H0342	7.370186667	165.2241333	1.7113
H0343	6.886853333	160.2241333	1.7113
H0344	6.080186667	140.2241333	1.044633333
H0345	8.10352	146.8908	1.377966667
H0346	6.84352	148.5574667	0.377966667
H0347	6.276853333	128.5574667	1.377966667
